"","Facility.Name","City","Number.of.Patients"
"1","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",305
"2","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",618
"3","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",412
"4","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"5","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"6","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"7","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"8","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"9","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"10","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"11","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"12","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"13","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"14","SOUTHEAST HEALTH MEDICAL CENTER","DOTHAN",NA
"15","MARSHALL MEDICAL CENTERS","BOAZ",38
"16","MARSHALL MEDICAL CENTERS","BOAZ",145
"17","MARSHALL MEDICAL CENTERS","BOAZ",328
"18","MARSHALL MEDICAL CENTERS","BOAZ",NA
"19","MARSHALL MEDICAL CENTERS","BOAZ",NA
"20","MARSHALL MEDICAL CENTERS","BOAZ",NA
"21","MARSHALL MEDICAL CENTERS","BOAZ",NA
"22","MARSHALL MEDICAL CENTERS","BOAZ",NA
"23","MARSHALL MEDICAL CENTERS","BOAZ",NA
"24","MARSHALL MEDICAL CENTERS","BOAZ",NA
"25","MARSHALL MEDICAL CENTERS","BOAZ",NA
"26","MARSHALL MEDICAL CENTERS","BOAZ",NA
"27","MARSHALL MEDICAL CENTERS","BOAZ",NA
"28","MARSHALL MEDICAL CENTERS","BOAZ",NA
"29","NORTH ALABAMA MEDICAL CENTER","FLORENCE",301
"30","NORTH ALABAMA MEDICAL CENTER","FLORENCE",456
"31","NORTH ALABAMA MEDICAL CENTER","FLORENCE",499
"32","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"33","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"34","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"35","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"36","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"37","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"38","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"39","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"40","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"41","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"42","NORTH ALABAMA MEDICAL CENTER","FLORENCE",NA
"43","MIZELL MEMORIAL HOSPITAL","OPP",NA
"44","MIZELL MEMORIAL HOSPITAL","OPP",44
"45","MIZELL MEMORIAL HOSPITAL","OPP",91
"46","MIZELL MEMORIAL HOSPITAL","OPP",NA
"47","MIZELL MEMORIAL HOSPITAL","OPP",NA
"48","MIZELL MEMORIAL HOSPITAL","OPP",NA
"49","MIZELL MEMORIAL HOSPITAL","OPP",NA
"50","MIZELL MEMORIAL HOSPITAL","OPP",NA
"51","MIZELL MEMORIAL HOSPITAL","OPP",NA
"52","MIZELL MEMORIAL HOSPITAL","OPP",NA
"53","MIZELL MEMORIAL HOSPITAL","OPP",NA
"54","MIZELL MEMORIAL HOSPITAL","OPP",NA
"55","MIZELL MEMORIAL HOSPITAL","OPP",NA
"56","MIZELL MEMORIAL HOSPITAL","OPP",NA
"57","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"58","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"59","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"60","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"61","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"62","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"63","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"64","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"65","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"66","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"67","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"68","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"69","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"70","CRENSHAW COMMUNITY HOSPITAL","LUVERNE",NA
"71","ST. VINCENT'S EAST","BIRMINGHAM",134
"72","ST. VINCENT'S EAST","BIRMINGHAM",268
"73","ST. VINCENT'S EAST","BIRMINGHAM",317
"74","ST. VINCENT'S EAST","BIRMINGHAM",NA
"75","ST. VINCENT'S EAST","BIRMINGHAM",NA
"76","ST. VINCENT'S EAST","BIRMINGHAM",NA
"77","ST. VINCENT'S EAST","BIRMINGHAM",NA
"78","ST. VINCENT'S EAST","BIRMINGHAM",NA
"79","ST. VINCENT'S EAST","BIRMINGHAM",NA
"80","ST. VINCENT'S EAST","BIRMINGHAM",NA
"81","ST. VINCENT'S EAST","BIRMINGHAM",NA
"82","ST. VINCENT'S EAST","BIRMINGHAM",NA
"83","ST. VINCENT'S EAST","BIRMINGHAM",NA
"84","ST. VINCENT'S EAST","BIRMINGHAM",NA
"85","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",59
"86","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",95
"87","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",192
"88","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"89","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"90","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"91","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
