"","Name","FeatureType","TownFlowType","SHAPESTLength"
"1","East Branch","STREAM","perennial",628.350378117904
"2","Lloyd's Branch","STREAM","perennial",486.234673976783
"3","Lloyd's Branch","STREAM","perennial",165.565400185423
"4","Tracy Branch","STREAM CENTERLINE","perennial",316.890757517841
"5","Tracy Branch","CULVERT","perennial",53.9446454833813
"6","Tracy Branch","STREAM CENTERLINE","perennial",134.160635227876
"7","Tracy Branch","STREAM CENTERLINE","perennial",107.91896209843
"8","Tracy Branch","CULVERT","perennial",41.7201659763189
"9","Tracy Branch","STREAM CENTERLINE","perennial",172.495241859796
"10","Tracy Branch","CULVERT","perennial",53.8745608320884
"11","Tracy Branch","STREAM CENTERLINE","perennial",1087.8482758911
"12","Booker Creek","STREAM CENTERLINE","perennial",2302.54355555473
"13","Booker Creek","STREAM CENTERLINE","perennial",3.32108451890694
"14","Booker Creek","CULVERT","perennial",114.270061399631
"15","Booker Creek","STREAM CENTERLINE","perennial",249.467373278127
"16","Booker Creek","CULVERT","perennial",77.5144276224876
"17","Booker Creek","STREAM CENTERLINE","perennial",154.912600758392
"18","Booker Creek","CULVERT","perennial",700.137519180588
"19","Booker Creek","STREAM CENTERLINE","perennial",578.05170453894
"20","Booker Creek","CULVERT","perennial",104.581932807341
"21","Booker Creek","STREAM CENTERLINE","perennial",95.1453590995604
"22","Bolin Creek","CULVERT","perennial",147.153005936411
"23","Bolin Creek","CULVERT","perennial",101.35240482675
"24","Bolin Creek","STREAM CENTERLINE","perennial",78.4360134619529
"25","Bolin Creek","STREAM CENTERLINE","perennial",372.040278650587
"26","Bolin Creek","CULVERT","perennial",47.893050833074
"27","Bolin Creek","STREAM CENTERLINE","perennial",1024.70474522979
"28","Bolin Creek","STREAM CENTERLINE","perennial",345.819551548889
"29","Bolin Creek","STREAM CENTERLINE","perennial",1091.97955318935
"30","Booker Creek","STREAM CENTERLINE","perennial",203.132891159217
"31","Booker Creek","CULVERT","perennial",52.8829529752877
"32","Booker Creek","STREAM CENTERLINE","perennial",667.069832023872
"33","Meeting of the Waters","STREAM CENTERLINE","perennial",294.453318478033
"34","Meeting of the Waters","CULVERT","perennial",74.8765862809085
"35","Meeting of the Waters","STREAM CENTERLINE","perennial",824.258128156448
"36","Meeting of the Waters","STREAM CENTERLINE","perennial",1865.10453395366
"37","Meeting of the Waters","CULVERT","perennial",199.697883558472
"38","Meeting of the Waters","STREAM CENTERLINE","perennial",299.273007531423
"39","Meeting of the Waters","STREAM CENTERLINE","perennial",66.2566532499713
