"","station_european_code","station_local_code","country_iso_code","country_name","station_name","station_start_date","station_end_date","type_of_station","station_ozone_classification","station_type_of_area","station_subcat_rural_back","street_type","station_longitude_deg","station_latitude_deg","station_altitude","station_city","lau_level1_code","lau_level2_code","lau_level2_name","EMEP_station","NO2"
"1","DENI063","DENI063","DE","Germany","Altes Land",1999-02-11,NA,"Background","rural","rural","unknown",NA,9.685031,53.524181,3,NA,NA,3359028,"Jork","no",13.1028059044467
"2","DEBY109","DEBY109","DE","Germany","Andechs/Rothenfeld",2003-04-17,NA,"Background","rural","rural","regional",NA,11.220172,47.968754,700,NA,NA,9188117,"Andechs","no",7.13512819679165
"3","DEBE056","DEBE056","DE","Germany","B Friedrichshagen",1994-02-01,NA,"Background","rural","rural","near city",NA,13.64705,52.447697,35,NA,NA,1.1e+07,"Berlin, Stadt","no",12.7990107440876
"4","DEBE062","DEBE062","DE","Germany","B Frohnau, Funkturm (3.5 m)",1996-02-01,NA,"Background","rural","rural","near city",NA,13.296081,52.653269,50,"BERLIN",NA,1.1e+07,"Berlin, Stadt","no",11.8308938898642
"5","DEBE032","DEBE032","DE","Germany","B Grunewald (3.5 m)",1986-10-01,NA,"Background","rural","rural","near city",NA,13.225144,52.473192,50,"BERLIN",NA,1.1e+07,"Berlin, Stadt","no",11.9801102775554
"6","DEHE046","DEHE046","DE","Germany","Bad Arolsen",1999-05-11,NA,"Background","rural","rural","unknown",NA,8.928172,51.430901,343,"BAD AROLSEN/KOHLGRUND",NA,6635002,"Bad Arolsen, Stadt","no",8.9356106627028
"7","DEBY122","DEBY122","DE","Germany","Bad Hindelang/Oberjoch",2010-06-21,NA,"Background","rural","rural","regional",NA,10.404233,47.518013,1169,NA,NA,9780123,"Bad Hindelang, M","no",7.02068961963726
"8","DESL019","DESL019","DE","Germany","Biringen",2003-02-01,NA,"Background","rural","rural","regional",NA,6.552036,49.416885,339,NA,NA,10044114,"Rehlingen-Siersburg","no",9.22679615705324
"9","DENW081","DENW081","DE","Germany","Borken-Gemen",1998-09-11,NA,"Background","rural","rural","near city",NA,6.874553,51.862,45,"BORKEN",NA,5554012,"Borken, Stadt","no",18.7000234479462
"10","DESH008","DESH008","DE","Germany","Bornhöved",1988-11-08,NA,"Background","rural","rural","regional",NA,10.240596,54.09323,45,NA,10575785,NA,"Ruhwinkel","no",9.15983632748024
"11","DESN093","DESN093","DE","Germany","Brockau",2011-01-01,NA,"Background","rural","rural","regional",NA,12.211111,50.608135,430,NA,145235120,NA,"Netzschkau, Stadt","no",8.54799427254379
"12","DEST039","DEST039","DE","Germany","Brocken",1993-01-28,NA,"Background","rural background","rural","remote",NA,10.618275,51.798626,1142,"SCHIERKE",NA,NA,NA,"no",3.58932640812765
"13","DEHE039","DEHE039","DE","Germany","Burg Herzberg (Grebenau)",1983-05-01,NA,"Background","rural","rural","unknown",NA,9.459403,50.770382,491,"HERZBERG",NA,6632004,"Breitenbach a. Herzberg","no",8.40025426823328
"14","DEBY124","DEBY124","DE","Germany","Burgbernheim/Am Hessinggraben",2012-01-01,NA,"Background","rural","rural","regional",NA,10.316582,49.444516,384,NA,NA,NA,NA,"no",12.0127251020025
"15","DESN076","DESN076","DE","Germany","Collmberg",1998-10-01,NA,"Background","rural background","rural","remote",NA,13.009405,51.303772,313,"COLLM",NA,14730330,"Wermsdorf","no",8.63682501630688
